slug,title,bgg
a-la-food-cart,À la Food Cart,https://boardgamegeek.com/boardgame/344872/a-la-food-cart
a-nice-cuppa,A Nice Cuppa,https://boardgamegeek.com/boardgame/408839/a-nice-cuppa
adventurous,Adventurous,https://boardgamegeek.com/boardgame/434848/adventurous
an-otter-won,An Otter Won,https://boardgamegeek.com/boardgame/322696/an-otter-won
antinomy,Antinomy,https://boardgamegeek.com/boardgame/251441/antinomy
arcane-bakery-clash,Arcane Bakery Clash,https://boardgamegeek.com/boardgame/245904/arcane-bakery-clash
aqua-rove,Aqua Rove,https://boardgamegeek.com/boardgame/408836/aqua-rove-results-oriented-versatile-explorer
at-the-helm,At the Helm,https://boardgamegeek.com/boardgame/361598/at-the-helm
casinopolis,Casinopolis,https://boardgamegeek.com/boardgame/408828/casinopolis
converge,Converge,https://boardgamegeek.com/boardgame/385975/converge-catalysts-of-change
cortica,Cortiça,https://boardgamegeek.com/boardgame/314735/cortica
death-valley,Death Valley,https://boardgamegeek.com/boardgame/322703/death-valley
dionysia,Dionysia,https://boardgamegeek.com/boardgame/434860/dionysia
downtown-las-palmas,Downtown Las Palmas,https://boardgamegeek.com/boardgame/434861/downtown-las-palmas
fantasyform,FantasyForm,https://boardgamegeek.com/boardgame/401505/fantasyform
forest-sky,Forest Sky,https://boardgamegeek.com/boardgame/360700/forest-sky
glass-garden,Glass Garden,https://boardgamegeek.com/boardgame/408840/glass-garden
hyperstar-run,Hyperstar Run,https://boardgamegeek.com/boardgame/430611/hyperstar-run
lands-of-amazement,Lands of Amazement,https://boardgamegeek.com/boardgame/434865/lands-of-amazement
making-manhattan,Making Manhattan,https://boardgamegeek.com/boardgame/347755/making-manhattan
movie-plotz,Movei Plotz,https://boardgamegeek.com/boardgame/155994/movie-plotz
mysticana,Mysticana,https://boardgamegeek.com/boardgame/408842/mysticana-a-foundation-deck
mysticana-solo,Mysticana: Solo Games,https://boardgamegeek.com/boardgame/408842/mysticana-a-foundation-deck
river-wild,River Wild,https://boardgamegeek.com/boardgame/352593/river-wild
rove,Rove,https://boardgamegeek.com/boardgame/342562/rove-results-oriented-versatile-explorer
rove-jr,Rove Jr.,https://boardgamegeek.com/boardgame/408837/rove-jr-results-oriented-versatile-explorer
shallow-regrets,Shallow Regrets,https://boardgamegeek.com/boardgame/434870/shallow-regrets
skulls-of-sedlec,Skulls of Sedlec,https://boardgamegeek.com/boardgame/303553/skulls-of-sedlec
squabblin-goblins,Squabblin Goblins,https://boardgamegeek.com/boardgame/352602/squabblin-goblins
the-last-lighthouse,The Last Lighthouse,https://boardgamegeek.com/boardgame/378117/the-last-lighthouse
the-perfect-moment,The Perfect Moment,https://boardgamegeek.com/boardgame/251445/the-perfect-moment
tides,Tides,https://boardgamegeek.com/boardgame/341963/tides
twdsurrounded,The Walking Dead: Surrounded,https://boardgamegeek.com/boardgame/406591/the-walking-dead-surrounded
unsurmountable,Unsurmountable,https://boardgamegeek.com/boardgame/331328/unsurmountable
why-i-otter,Why I Otter,https://boardgamegeek.com/boardgame/278971/why-i-otter
wonder-tales,Wonder Tales,https://boardgamegeek.com/boardgame/284446/wonder-tales
